Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
023.100 COVERED PATIO      ,3,,COVP1,23.1,COVERED PATIO      ,1000,Framing,XXXX-23.1-1000,PPPP,023.100,**,1000,PPPP-023.100-**-1000
023.200 COVERED PATIO 2     ,3,,COVP2,23.2,COVERED PATIO 2     ,1000,Framing,XXXX-23.2-1000,PPPP,023.200,**,1000,PPPP-023.200-**-1000
023.300 COVERED PATIO 3     ,3,,COVP3,23.3,COVERED PATIO 3     ,1000,Framing,XXXX-23.3-1000,PPPP,023.300,**,1000,PPPP-023.300-**-1000
023.610 SUNROOM COVERED PATIO     ,3,,COVPSN1,23.61,SUNROOM COVERED PATIO     ,1000,Framing,XXXX-23.61-1000,PPPP,023.610,**,1000,PPPP-023.610-**-1000
023.006 COVERED PATIO @ SUNROOM    ,3,,SUN,23.sr,COVERED PATIO @ SUNROOM    ,1000,Framing,XXXX-23.sr-1000,PPPP,023.006,**,1000,PPPP-023.006-**-1000
023.005 EXTENDED COVERED PATIO     ,3,,COVPX,23.xc,EXTENDED COVERED PATIO     ,1000,Framing,XXXX-23.xc-1000,PPPP,023.005,**,1000,PPPP-023.005-**-1000
024.000 DECK FRAMING      ,3,,WO,24,DECK FRAMING      ,1000,Framing,XXXX-24-1000,PPPP,024.000,**,1000,PPPP-024.000-**-1000
024.100 DECK FRAMING      ,3,,DECK,24.1,DECK FRAMING      ,1000,Framing,XXXX-24.1-1000,PPPP,024.100,**,1000,PPPP-024.100-**-1000
024.200 DECK FRAMING      ,3,,DECK2,24.2,DECK FRAMING      ,1000,Framing,XXXX-24.2-1000,PPPP,024.200,**,1000,PPPP-024.200-**-1000
024.300 DECK FRAMING      ,3,,DECK3,24.3,DECK FRAMING      ,1000,Framing,XXXX-24.3-1000,PPPP,024.300,**,1000,PPPP-024.300-**-1000
024.605 DECK FRAMING @ EXT GRT RM WALKOUT ,3,,DECKX,24.6,DECK FRAMING @ EXT GRT RM WALKOUT ,1000,Framing,XXXX-24.6-1000,PPPP,024.605,**,1000,PPPP-024.605-**-1000
024.005 EXT DECK FRAMING     ,3,,"COVD2, WO",24.ed,EXT DECK FRAMING     ,1000,Framing,XXXX-24.ed-1000,PPPP,024.005,**,1000,PPPP-024.005-**-1000
024.006 DECK FRAMING @ SUNROOM    ,3,,"SUN, COVD1SN, SUNWO",24.sr,DECK FRAMING @ SUNROOM    ,1000,Framing,XXXX-24.sr-1000,PPPP,024.006,**,1000,PPPP-024.006-**-1000
024.006 DECK FRAMING @ SUNROOM    ,3,,"COVD1SN, SUNWO",24.sr,DECK FRAMING @ SUNROOM    ,1000,Framing,XXXX-24.sr-1000,PPPP,024.006,**,1000,PPPP-024.006-**-1000
025.100 COVERED DECK      ,3,,COVD,25.1,COVERED DECK      ,1000,Framing,XXXX-25.1-1000,PPPP,025.100,**,1000,PPPP-025.100-**-1000
025.100 COVERED DECK FRAMING     ,3,,COVD,25.1,COVERED DECK FRAMING     ,1000,Framing,XXXX-25.1-1000,PPPP,025.100,**,1000,PPPP-025.100-**-1000
025.101 COVERED DECK STAIR FRAMING    ,3,,COVD,25.1s,COVERED DECK STAIR FRAMING    ,1000,Framing,XXXX-25.1s-1000,PPPP,025.101,**,1000,PPPP-025.101-**-1000
025.200 COVERED DECK FRAMING     ,3,,COVD2,25.2,COVERED DECK FRAMING     ,1000,Framing,XXXX-25.2-1000,PPPP,025.200,**,1000,PPPP-025.200-**-1000
